question_id,question,expected_paper,chunk_size,chunk_overlap,top_k,num_nodes,retrieved_files,retrieved_pages,answer,retrieved_sources_preview,answer_quality_score,faithfulness_score,failure_type,notes
Q1,ViT 为什么可以把图像当成词序列来处理？请结合 patch embedding、position embedding、class token 和 Transformer Encoder 解释。,VIT.pdf,800,120,2,388,VIT.pdf; VIT.pdf,3; 9,"ViT 将图像当作词序列来处理，核心在于把 2D 图像转换成 1D 的 token 序列，具体通过以下四个组件实现：

1. **Patch Embedding（图块嵌入）**  
   图像原本是 `H×W×C` 的三维张量，ViT 将其切分成固定大小的 2D 图块（patch），每个图块大小为 `P×P×C`，共得到 `N = HW/P²` 个图块。随后，每个图块被展平为一维向量，再通过一个可训练的线性投影映射到固定的 `D` 维向量。这一步相当于为每个图块生成一个“词向量”，从而将图像转化为 `N` 个 token 的序列，使图像在形式上与 NLP 中的词序列一致。

2. **Position Embedding（位置嵌入）**  
   由于 Transformer 本身不具备序列顺序的感知能力，ViT 为每个图块嵌入加上可学习的 1D 位置嵌入，以保留图块在原始图像中的空间位置信息。这样，即使图像被切分成序列，模型仍能知道每个图块来自图像的哪个位置。

3. **Class Token（分类标记）**  
   类似 BERT 的 `[class]` token，ViT 在序列最前面添加一个额外的可学习嵌入（`z00 = xclass`）。这个 token 本身不携带任何图像内容，但经过 Transformer 编码器处理后，其输出状态 `z0L` 会聚合整个序列的信息，作为整幅图像的表示，用于最终的分类任务。

4. **Transformer Encoder（Transformer 编码器）**  
   由 patch embedding、position embedding 和 class token 拼接而成的完整序列，被送入标准的 Transformer 编码器。编码器由交替的多头自注意力（MSA）和 MLP 块堆叠而成，并在每个块前后使用 LayerNorm 和残差连接。通过自注意力机制，模型能够捕捉不同图块之间的全局关系，就像处理词序列一样处理图像。

综上，ViT 通过“切分图块 → 线性投影为 token → 添加位置信息 → 前置分类 token → 送入 Transformer”的流程，将图像完全转化为一个 1D 的 token 序列，从而可以像处理词序列一样用 Transformer 进行建模。","Source 1: VIT.pdf, page 3, score=0.6129627552386296
Published as a conference paper at ICLR 2021                                 Vision Transformer (ViT)                          Transformer Encoder                  Class                                                                              L x   +                    Bird     MLP                       Ball                     Car        Head                                       MLP                                     ...                                                                     

Source 2: VIT.pdf, page 9, score=0.5948460680229734
Published as a conference paper at ICLR 2021               RGB embedding filters           (first 28 principal components)                                                              Position embedding similarity                          ViT-L/16                                                                                         1                                                         1                                                                                                         ",5,5,none,检索来源集中在 VIT.pdf，回答完整覆盖 patch embedding、position embedding、class token 与 Transformer Encoder。
Q2,CLIP 的 contrastive pre-training objective 是什么？请解释 image-text pairs、cosine similarity 和 symmetric cross entropy loss 的作用。,CLIP.pdf,800,120,2,388,CLIP.pdf; CLIP.pdf,44; 4,"根据当前检索到的论文片段，可以部分回答你的问题。

**CLIP 的 contrastive pre-training objective**  
片段中提到：“Given a batch of N (image, text) pairs, CLIP is trained to predict which of the N × N possible (image, text) pairings across a batch actually occurred.”  
即，给定一个包含 N 个（图像，文本）对的批次，CLIP 的训练目标是预测这 N×N 种可能的（图像，文本）配对中，哪些是真实匹配的配对。这本质上是一个对比学习任务，让模型学会将匹配的图像和文本拉近，将不匹配的拉远。

**关于 image-text pairs、cosine similarity 和 symmetric cross entropy loss 的作用**  
- **image-text pairs**：片段中明确提到了使用（图像，文本）对进行训练，但未进一步解释其具体作用机制。  
- **cosine similarity**：在提供的片段中完全没有出现“cosine similarity”这一术语，因此无法基于片段说明其作用。  
- **symmetric cross entropy loss**：片段中同样未提及该损失函数，因此无法基于片段说明其作用。

综上，根据当前检索到的论文片段，只能确定 CLIP 的对比预训练目标是预测批次中真实的（图像，文本）配对，而 cosine similarity 和 symmetric cross entropy loss 的具体作用在片段中未出现，**根据当前检索到的论文片段无法确定**。","Source 1: CLIP.pdf, page 44, score=0.60354912809709
This mirrors recent work which reportedtask. We trained the model with a total batch size of 1,712                                                                 positive results using the same contrastive pre-training ob-for approximately 30 million images sampled from our pre- training dataset. At the end of training it achieves nearly     jective on the relatively different domain of medical imaging                                                       (Zhang et al., 2020). It also is simila

Source 2: CLIP.pdf, page 4, score=0.5850901773478039
(2020b). encoder, learns to recognize ImageNet classes three times                                        We instead use only a linear projection to map from each en- slower than a much simpler baseline that predicts a bag-of-                                                              coder’s representation to the multi-modal embedding space. words encoding of the same text.                                        We did not notice a difference in training efﬁciency between Both these approache",3,5,retrieval_incomplete + answer_incomplete,检索到 CLIP 训练目标核心段落，但未召回 cosine similarity 与 symmetric cross entropy 的完整实现细节；模型选择保守回答，忠实性较高。
Q3,LLaVA 的 visual instruction tuning data 是如何由 GPT-4 生成的？请分别解释 conversation、detailed description 和 complex reasoning 三类数据。,llava.pdf,800,120,2,388,llava.pdf; llava.pdf,3; 1,"根据检索到的 LLaVA 论文片段，其 visual instruction tuning data 的生成方式如下：

**整体生成思路**  
LLaVA 利用仅接受文本输入的 GPT-4（或 ChatGPT）作为“教师”，通过**符号表示**将图像信息转化为语言模型可识别的序列。具体使用两类符号：  
- **Captions**：从不同角度描述视觉场景；  
- **Bounding boxes**：定位场景中的物体，编码物体类别和空间位置。  
基于 COCO 图像，为每种数据类型先人工设计少量示例作为种子，再通过上下文学习（in-context-learning）提示 GPT-4 批量生成。

**Conversation 数据**  
设计一段助手与提问者关于照片的对话。回答的语气需模拟助手正在观看图像并作答。问题涵盖多样的视觉内容，包括物体类型、计数、物体动作、物体位置、物体间的相对位置等，且只考虑有明确答案的问题。

**Detailed description 数据**  
为生成丰富且全面的图像描述，先创建一系列具有该意图的问题，然后提示 GPT-4 并整理出问题列表（详细提示见附录）。本质上是通过问答形式引导出详尽的描述。

**Complex reasoning 数据**  
根据当前检索到的论文片段无法确定。片段中仅明确列出了 Conversation 和 Detailed description 两种类型，未出现 complex reasoning 的相关描述。","Source 1: llava.pdf, page 3, score=0.6094362751172385
Table 1: One example to illustrate the instruction-following data. The top block shows the contexts such as captions and boxes used to prompt GPT, and the bottom block shows the three types of responses. Note that the visual image is not used to prompt GPT, we only show it here as a reference.   following data, the available amount is limited, partially because the process for creating such data is time-consuming and less well-defined when human crowd-scouring is considered. Inspired by the succ

Source 2: llava.pdf, page 1, score=0.6047659928931697
Visual Instruction Tuning                                      Haotian Liu1∗, Chunyuan Li2∗, Qingyang Wu3, Yong Jae Lee1                               1University of Wisconsin–Madison   2Microsoft Research   3Columbia University                                                                    https://llava-vl.github.io                                                    Abstract2023                                  Instruction tuning large language models (LLMs) using machine-generated         ",4,5,answer_incomplete,检索到 LLaVA 的 GPT-4 数据生成方法，并解释 conversation 与 detailed description；但 complex reasoning 细节未召回，答案不完整。
Q4,在 Video-LLaVA 中，为什么作者认为 image features 和 video features 必须在 projection layer 之前对齐？请结合 unified visual representation 和 LanguageBind 解释。,video-llava.pdf,800,120,2,388,video-llava.pdf; video-llava.pdf,4; 9,"根据检索到的论文片段，作者认为 image features 和 video features 必须在 projection layer 之前对齐，原因如下：

片段指出，通过共享一个语言特征空间，图像和视频的表示最终会汇聚成一个统一的视觉特征空间，这被称为图像和视频的“涌现对齐”（emergent alignment）。因此，Video-LLaVA 的视频编码器和图像编码器都从 LanguageBind 编码器库中初始化，这样可以在输入 LLM 之前就预先对齐（pre-aligning）视觉信号，并缩小不同视觉信号表示之间的差距。这种在投影层之前就形成的统一视觉表示（unified visual representation），随后才通过一个共享的投影层送入 LLM。简而言之，利用 LanguageBind 将视觉信号预先绑定到语言特征空间，是为了在投影之前就实现对齐，从而让 LLM 能够基于统一的视觉表示同时理解图像和视频。","Source 1: video-llava.pdf, page 4, score=0.6183131969010138
By shar-   visual comprehension tasks, rather than just de- ing a language feature space, the image and video    scribing visual signals. Note that the conversation representations ultimately converge into a unified    data X1q, X1a, · · · , XNq , XNa   consists of multiple visual feature space, which we refer to as emergent    rounds. alignment of images and videos. Therefore, our video encoder and image encoder are initialized          X1q,                      r = 1                           

Source 2: video-llava.pdf, page 9, score=0.6133155959227488
pare with Video-LLaVA∗to assess the performance   while preserving data features. This would support gains from joint image training on video bench-   Video-LLaVA in better understanding long videos. marks.  In Table 6, we evaluate our model on    Besides, Video-LLaVA can serve as a baseline to four video question-answering datasets.  Com-   extend to additional visual-related modalities, such pared to Video-LLaVA∗without image in training,   as depth and infrared images.  Additionally, we the m",4,5,retrieval_incomplete,检索到 Video-LLaVA 的核心对齐思想，回答基本正确；但对 “misalignment before projection” 的问题动机解释还不够完整。
Q5,Qwen2.5-VL 的动态分辨率、动态 FPS 和绝对时间编码分别解决了什么问题？,qwen2.5-VL.pdf,800,120,2,388,qwen2.5-VL.pdf; qwen2.5-VL.pdf,7; 5,"根据检索到的论文片段，Qwen2.5-VL 的动态分辨率、动态 FPS 和绝对时间编码分别解决了以下问题：

- **动态分辨率（Native Dynamic Resolution）**  
  在空间维度上，动态地将不同尺寸的图像转换为对应长度的 token 序列，并直接使用图像的实际尺寸来表示边界框、点等空间特征。这解决了传统方法因归一化坐标而丢失尺度信息的问题，使模型能够内在地学习尺度信息，从而更好地泛化到不同分辨率的图像输入。

- **动态 FPS（Dynamic Frame Rate Training）**  
  在训练时动态采样视频的帧率（FPS），使训练数据中的 FPS 分布更均匀，同时让模型适应可变的帧率。这解决了模型对视频帧率变化不够鲁棒的问题，使其能够更有效地捕捉视频内容的时间动态。

- **绝对时间编码（MRoPE Aligned to Absolute Time）**  
  将多模态旋转位置编码（MRoPE）的时间分量与绝对时间对齐，通过时间 ID 之间的间隔来反映真实的时间流逝。这解决了 Qwen2-VL 中时间位置 ID 仅与输入帧数挂钩、无法考虑内容变化速度或事件绝对时间的问题，使模型能够学习跨不同 FPS 采样率的一致时间对齐，从而理解视频中的时间节奏。","Source 1: qwen2.5-VL.pdf, page 7, score=0.5213299953520111
Video Data  To ensure enhanced robustness in understanding video data with varying frames per second (FPS), we dynamically sampled FPS during training to achieve a more evenly distributed representation of FPS within the training dataset. Additionally, for videos exceeding half an hour in length, we specifically constructed a set of long video captions by synthesizing multi-frame captions through a targeted synthesis pipeline. Regarding video grounding data, we formulated timestamps in both seco

Source 2: qwen2.5-VL.pdf, page 5, score=0.5204961707966581
training. Images are randomly sampled according to their original aspect ratios, enabling the model to generalize effectively to inputs of diverse resolutions. This approach not only improves the model’s adaptability but also ensures stable and efficient training across different sizes of visual data.  2.1.2  Native Dynamic Resolution and Frame Rate  Qwen2.5-VL introduces advancements in both spatial and temporal dimensions to handle diverse multimodal inputs effectively.  In the spatial domain,",5,5,none,检索来源集中在 qwen2.5-VL.pdf，三项机制均解释清楚。
Q6,InternVL3.5 的 DvD（Decoupled Vision-Language Deployment）是什么？它如何把 vision encoder 和 language model 部署到不同 GPU 上来提升推理效率？,internvl.pdf,800,120,2,388,internvl.pdf; CLIP.pdf,4; 5,根据当前检索到的论文片段无法确定。提供的片段仅包含 InternVL3.5 系列的模型参数表以及 InternVL3.5-Flash 的视觉 token 压缩机制，未提及 DvD（Decoupled Vision-Language Deployment）或如何将 vision encoder 和 language model 部署到不同 GPU 的相关内容。,"Source 1: internvl.pdf, page 4, score=0.6270043568691966
#Param     Model                    Vision Encoder   Language Model                                                                      Vision   Language            Total                                             Dense Models       InternVL3.5-1B           InternViT-300M   Qwen3-0.6B           0.3B        0.8B            1.1B      InternVL3.5-2B           InternViT-300M   Qwen3-1.7B           0.3B        2.0B            2.3B      InternVL3.5-4B           InternViT-300M  Qwen3-4B            0.

Source 2: CLIP.pdf, page 5, score=0.6225508645773381
We denote this is left as future work.                                           this model as ViT-L/14@336px. Unless otherwise speciﬁed,                                                                            all results reported in this paper as “CLIP” use this model While previous computer vision research has often scaled                                                    which we found to perform best. models by increasing the width (Mahajan et al., 2018) or depth (He et al., 2016a) in is",1,5,retrieval_failure,top_k=2 未召回 DvD 的部署细节，只检索到 InternVL 参数表/Flash 机制和无关 CLIP 片段；模型拒答是忠实的。
Q1,ViT 为什么可以把图像当成词序列来处理？请结合 patch embedding、position embedding、class token 和 Transformer Encoder 解释。,VIT.pdf,800,120,4,388,VIT.pdf; VIT.pdf; VIT.pdf; VIT.pdf,3; 9; 4; 2,"ViT 之所以能把图像当成词序列来处理，是因为它通过以下设计将 2D 图像转化为 1D 的 token 序列，并交给原本为文本设计的 Transformer 编码器：

1. **Patch Embedding（图块嵌入）**  
   标准 Transformer 的输入是 1D 的 token 嵌入序列。为了适配图像，ViT 将图像切分成固定大小的 2D 图块（patch），然后把每个图块展平成一维向量，再通过一个可训练的线性投影映射到固定的维度 D。这样，每个图块就变成了一个“词向量”（patch embedding），整张图像就变成了一串 patch embedding 序列，序列长度 N 等于图块的数量。

2. **Position Embedding（位置嵌入）**  
   与文本中的词序类似，图块之间的空间位置关系也需要被模型感知。ViT 在 patch embedding 上加上可学习的 1D 位置嵌入，从而为每个图块赋予位置信息。值得注意的是，这些位置嵌入在初始化时并不包含 2D 空间先验，所有空间关系都需要在训练中从头学习。

3. **Class Token（分类标记）**  
   类似于 BERT 的 [class] token，ViT 在 patch embedding 序列的最前面添加一个额外的可学习嵌入（class token）。这个 token 本身不携带任何图像内容信息，但经过 Transformer 编码器处理后，其输出状态会被用作整张图像的表示，并连接分类头进行类别预测。这使得模型能够像处理文本分类任务中的 [CLS] token 一样，聚合全图信息。

4. **Transformer Encoder（Transformer 编码器）**  
   由 patch embedding、class token 和 position embedding 拼接而成的完整序列，直接输入到标准的 Transformer 编码器中。编码器由交替的多头自注意力（MSA）和 MLP 块堆叠而成，自注意力机制是全局的，能够捕捉任意两个图块之间的关系，就像处理词序列时捕捉词与词之间的依赖一样。

综上，ViT 通过“切图块→线性投影成 patch embedding→加位置 embedding→前置 class token→送入 Transformer 编码器”这一流程，将图像完全转化为一个 1D 的 token 序列，从而可以像处理词序列一样用 Transformer 进行建模。","Source 1: VIT.pdf, page 3, score=0.6129627552386296
Published as a conference paper at ICLR 2021                                 Vision Transformer (ViT)                          Transformer Encoder                  Class                                                                              L x   +                    Bird     MLP                       Ball                     Car        Head                                       MLP                                     ...                                                                     

Source 2: VIT.pdf, page 9, score=0.5948460680229734
Published as a conference paper at ICLR 2021               RGB embedding filters           (first 28 principal components)                                                              Position embedding similarity                          ViT-L/16                                                                                         1                                                         1                                                                                                         

Source 3: VIT.pdf, page 4, score=0.5885293358173604
Published as a conference paper at ICLR 2021      The MLP contains two layers with a GELU non-linearity.      z0 = [xclass; x1pE; x2pE; · · · ; xNp E] + Epos,   E ∈R(P 2·C)×D, Epos ∈R(N+1)×D     (1)      z′ ℓ= MSA(LN(zℓ−1)) + zℓ−1,          ℓ= 1 . . . L                                (2)    zℓ= MLP(LN(z′ ℓ)) + z′ ℓ,            ℓ= 1 . . . L                                (3)     y = LN(z0L)                                                                                (4)  Inductive bias.  We not

Source 4: VIT.pdf, page 2, score=0.5879727499385975
This model is very similar to ViT, but our work goes further to demonstrate that large scale pre-training makes vanilla transformers competitive with (or even better than) state-of-the-art CNNs. Moreover, Cordonnier et al. (2020) use a small patch size of 2 × 2 pixels, which makes the model applicable only to small-resolution images, while we handle medium-resolution images as well.  There has also been a lot of interest in combining convolutional neural networks (CNNs) with forms of self-attent",5,5,none,VIT.pdf 来源完整，回答结构清晰且覆盖所有关键组件。
Q2,CLIP 的 contrastive pre-training objective 是什么？请解释 image-text pairs、cosine similarity 和 symmetric cross entropy loss 的作用。,CLIP.pdf,800,120,4,388,CLIP.pdf; CLIP.pdf; CLIP.pdf; CLIP.pdf,44; 4; 4; 1,"根据检索到的论文片段，CLIP 的对比预训练目标可以概括为：给定一个包含 N 个（图像，文本）对的批次，模型需要预测这 N×N 个可能的（图像，文本）配对中，哪些是真实匹配的配对。

具体来说，CLIP 联合训练一个图像编码器和一个文本编码器，将图像和文本映射到同一个多模态嵌入空间。在该空间中，对于批次内的 N 个真实（图像，文本）对，模型会最大化它们的图像嵌入与文本嵌入之间的**余弦相似度**；同时，对于其余 N²−N 个错误配对，则最小化其嵌入之间的余弦相似度。在这些相似度分数上，CLIP 优化一个**对称交叉熵损失**（symmetric cross entropy loss）。

因此，各要素的作用为：
- **image-text pairs**：构成训练批次的正样本对，模型需要拉近真实配对的嵌入，推远错误配对的嵌入。
- **cosine similarity**：用于衡量图像嵌入与文本嵌入在多模态空间中的对齐程度，是优化目标的核心度量。
- **symmetric cross entropy loss**：在相似度矩阵上计算的对称损失，驱动模型正确区分真实配对与错误配对，实现对比学习。","Source 1: CLIP.pdf, page 44, score=0.60354912809709
This mirrors recent work which reportedtask. We trained the model with a total batch size of 1,712                                                                 positive results using the same contrastive pre-training ob-for approximately 30 million images sampled from our pre- training dataset. At the end of training it achieves nearly     jective on the relatively different domain of medical imaging                                                       (Zhang et al., 2020). It also is simila

Source 2: CLIP.pdf, page 4, score=0.5850901773478039
(2020b). encoder, learns to recognize ImageNet classes three times                                        We instead use only a linear projection to map from each en- slower than a much simpler baseline that predicts a bag-of-                                                              coder’s representation to the multi-modal embedding space. words encoding of the same text.                                        We did not notice a difference in training efﬁciency between Both these approache

Source 3: CLIP.pdf, page 4, score=0.5845140356951546
Learning Transferable Visual Models From Natural Language Supervision                                       4  balance the results by including up to 20,000 (image, text)    multi-modal embedding space by jointly training an image pairs per query. The resulting dataset has a similar total    encoder and text encoder to maximize the cosine similar- word count as the WebText dataset used to train GPT-2. We     ity of the image and text embeddings of the N real pairs refer to this dataset as WIT fo

Source 4: CLIP.pdf, page 1, score=0.5815456779993735
content based image retrieval by training a model to pre-             The model transfers non-trivially to most tasks                                                                                 dict the nouns and adjectives in text documents paired with              and is often competitive with a fully supervised                                                                   images. Quattoni et al. (2007) demonstrated it was possi-                baseline without the need for any dataset",5,5,none,CLIP.pdf 关键段落被完整召回，回答覆盖 image-text pairs、cosine similarity 与 symmetric cross entropy loss。
Q3,LLaVA 的 visual instruction tuning data 是如何由 GPT-4 生成的？请分别解释 conversation、detailed description 和 complex reasoning 三类数据。,llava.pdf,800,120,4,388,llava.pdf; llava.pdf; internvl.pdf; llava.pdf,3; 1; 7; 6,"根据检索到的论文片段，LLaVA 的 visual instruction tuning data 生成方式如下：

- **生成方式**：利用仅接受文本输入的 GPT-4 或 ChatGPT 作为强教师，通过符号表示将图像编码为语言模型可识别的序列。具体使用两种符号表示：**图像描述（Captions）** 从不同角度描述视觉场景，**边界框（Bounding boxes）** 定位物体并编码其概念和空间位置。基于 COCO 图像，通过人工设计少量示例作为上下文学习的种子，提示 GPT-4 生成三类指令遵循数据。

对于三类数据，片段中明确描述了其中两类：

- **Conversation（对话）**：设计一段助手与提问者关于照片的对话。回答的语气如同助手正在看着图像并回答问题。问题涵盖视觉内容的多个方面，包括物体类型、计数、物体动作、物体位置、物体间相对位置等，且只考虑有明确答案的问题。

- **Detailed description（详细描述）**：为了生成丰富且全面的图像描述，先创建一系列具有此意图的问题，然后提示 GPT-4 并整理出问题列表（具体提示见附录，片段未展示完整细节）。

- **Complex reasoning（复杂推理）**：片段中未提及该类型数据的生成方式或具体描述。根据当前检索到的论文片段无法确定。","Source 1: llava.pdf, page 3, score=0.6094362751172385
Table 1: One example to illustrate the instruction-following data. The top block shows the contexts such as captions and boxes used to prompt GPT, and the bottom block shows the three types of responses. Note that the visual image is not used to prompt GPT, we only show it here as a reference.   following data, the available amount is limited, partially because the process for creating such data is time-consuming and less well-defined when human crowd-scouring is considered. Inspired by the succ

Source 2: llava.pdf, page 1, score=0.6047659928931697
Visual Instruction Tuning                                      Haotian Liu1∗, Chunyuan Li2∗, Qingyang Wu3, Yong Jae Lee1                               1University of Wisconsin–Madison   2Microsoft Research   3Columbia University                                                                    https://llava-vl.github.io                                                    Abstract2023                                  Instruction tuning large language models (LLMs) using machine-generated         

Source 3: internvl.pdf, page 7, score=0.5986747961042415
Data. For the supervised fine-tuning (SFT) stage, the datasets comprise approximately 56 million samples, which corresponds to around 130 billion tokens. The proportion of text-only data to multimodal data is roughly 1:3.5. For the cascade reinforcement learning stage, we use MMPR-v1.2 [142] as the training data for offline RL, which contains about 200K sample pairs. Based on MMPR-v1.2, we compute the accuracy of each query using the provided rollouts and select those whose model accuracy falls 

Source 4: llava.pdf, page 6, score=0.5974663081371353
Surprisingly, although LLaVA is trained with a small multimodal instruction-following dataset (∼80K unique images), it demonstrates quite similar reasoning results with multimodal GPT-4 on these examples. Note that while these images are out-of-domain for LLaVA, LLaVA is still able to understand the scenes and follow the question instruction to provide a reasonable response. In contrast, BLIP-2 and OpenFlamingo focus on describing the image, instead of following the user instruction to answer in",3,4,answer_incomplete + mixed_sources_noise,检索到 LLaVA 数据生成相关片段，但混入 InternVL；回答仍缺少 complex reasoning 的生成细节。
